城市,名称,上牌时间,品牌,表显里程,排量,变速箱,原价,售价,排放标准,过户次数,使用性质,产权性质,看车方式,异常点,车长/宽/高,轴距,行李箱容积,整备质量,进气形式,气缸数,最大马力,最大扭矩,燃料类型,燃油标号,供油方式,车龄
杭州,奔驰CLA级 2016款 CLA 200 时尚型(进口),2016,奔驰CLA级,2,1.6,自动,31.04,19.5,国五,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4635/1777/1440,2700,470,-,涡轮增压,4缸,156,250,汽油,95号,直喷,5
杭州,奔驰CLA级 2016款 CLA 200 时尚型(进口),2016,奔驰CLA级,2,1.6,自动,,19.5,国五,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4635/1777/1440,2700,470,-,涡轮增压,4缸,156,250,汽油,95号,直喷,5
杭州,奔驰CLA级 2014款 CLA 260 4MATIC(进口),2014,奔驰CLA级,4.54,2,自动,,22.8,国五,1,非运营使用性质,私户产权性质,到店服务看车方式,0,4684/1777/1423,2700,470,1578,涡轮增压,4缸,211,350,汽油,95号,直喷,7
宿迁,奔驰CLA级 2017款 改款 CLA 200 时尚型(进口),2017,奔驰CLA级,6.36,1.6,自动,31.37,21.8,国五,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4673/1777/1417,2699,470,-,涡轮增压,4缸,156,250,汽油,95号,直喷,4
宿迁,奔驰CLA级 2017款 改款 CLA 200 时尚型(进口),2017,奔驰CLA级,6.36,1.6,自动,,21.8,国五,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4673/1777/1417,2699,470,-,涡轮增压,4缸,156,250,汽油,95号,直喷,4
杭州,奔驰CLA级 2014款 CLA 260 4MATIC(进口),2014,奔驰CLA级,4.54,2,自动,41.03,22.8,国五,1,非运营使用性质,私户产权性质,到店服务看车方式,0,4684/1777/1423,2700,470,1578,涡轮增压,4缸,211,350,汽油,95号,直喷,7
成都,奔驰CLA级 2016款 CLA 200 动感型(进口),2016,奔驰CLA级,2.96,1.6,自动,28.87,19,国五,1,非运营使用性质,私户产权性质,到店服务看车方式,0,4635/1777/1440,2700,470,-,涡轮增压,4缸,156,250,汽油,95号,直喷,5
福州,奔驰CLA级 2017款 改款 CLA 200 动感型(进口),2017,奔驰CLA级,8.24,1.6,自动,29.2,22,国五,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4645/1777/1417,2699,470,-,涡轮增压,4缸,156,250,汽油,95号,直喷,4
重庆,奔驰CLS级 2012款 CLS 300 CGI(进口),2012,奔驰CLS级,12.3,3.5,自动,83.36,20.68,国四,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4940/1881/1416,2874,520,1839,自然吸气,6缸,252,340,汽油,95号,直喷,9
常州,奔驰C级 2011款 C 200 CGI 时尚型,2011,奔驰C级,12,1.8,自动,,9.08,国四,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4591/1770/1444,2760,475,1570,涡轮增压,4缸,184,270,汽油,95号,直喷,10
常州,奔驰C级 2011款 C 200 CGI 时尚型,2011,奔驰C级,12,1.8,自动,42.12,9.08,国四,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4591/1770/1444,2760,475,1570,涡轮增压,4缸,184,270,汽油,95号,直喷,10
大连,奔驰C级 2011款 C 200 CGI 时尚型,2011,奔驰C级,9.3,1.8,自动,42.12,11.58,国四,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4591/1770/1444,2760,475,1570,涡轮增压,4缸,184,270,汽油,95号,直喷,10
大连,奔驰C级 2011款 C 200 CGI 时尚型,2011,奔驰C级,9.3,1.8,自动,,11.58,国四,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4591/1770/1444,2760,475,1570,涡轮增压,4缸,184,270,汽油,95号,直喷,10
大连,奔驰C级 2011款 C 180K 经典型,2011,奔驰C级,10,1.6,自动,,9.5,国四,2,非运营使用性质,私户产权性质,到店服务看车方式,0,4591/1770/1444,2760,475,1545,机械增压,4缸,156,230,汽油,95号,多点电喷,10
大连,奔驰C级 2011款 C 180K 经典型,2011,奔驰C级,10,1.6,自动,33.43,9.5,国四,2,非运营使用性质,私户产权性质,到店服务看车方式,0,4591/1770/1444,2760,475,1545,机械增压,4缸,156,230,汽油,95号,多点电喷,10
佛山,奔驰C级 2010款 C 180K 经典型,2010,奔驰C级,13,1.6,自动,,8.38,国四,1,非运营使用性质,私户产权性质,到店服务看车方式,0,4581/1770/1448,2760,475,1615,机械增压,4缸,156,230,汽油,95号,多点电喷,11
佛山,奔驰C级 2010款 C 180K 经典型,2010,奔驰C级,13,1.6,自动,33.43,8.38,国四,1,非运营使用性质,私户产权性质,到店服务看车方式,0,4581/1770/1448,2760,475,1615,机械增压,4缸,156,230,汽油,95号,多点电喷,11
杭州,奔驰C级 2011款 C 180K 经典型,2011,奔驰C级,14,1.6,自动,,9.5,国四,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4591/1770/1444,2760,475,1545,机械增压,4缸,156,230,汽油,95号,多点电喷,10
杭州,奔驰C级 2011款 C 180K 经典型,2011,奔驰C级,14,1.6,自动,33.43,9.5,国四,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4591/1770/1444,2760,475,1545,机械增压,4缸,156,230,汽油,95号,多点电喷,10
呼和,奔驰C级 2013款 C 260 CGI 优雅型,2013,奔驰C级,7.24,1.8,自动,38.32,12.5,国四,4,非运营使用性质,私户产权性质,到店服务看车方式,0,4581/1770/1448,2760,475,1570,涡轮增压,4缸,204,310,汽油,95号,直喷,8
呼和,奔驰C级 2013款 C 260 CGI 优雅型,2013,奔驰C级,7.24,1.8,自动,,12.5,国四,4,非运营使用性质,私户产权性质,到店服务看车方式,0,4581/1770/1448,2760,475,1570,涡轮增压,4缸,204,310,汽油,95号,直喷,8
呼和,奔驰C级 2011款 C 200 CGI 时尚型,2011,奔驰C级,13.2,1.8,自动,,11.8,国四,4,非运营使用性质,私户产权性质,到店服务看车方式,0,4591/1770/1444,2760,475,1570,涡轮增压,4缸,184,270,汽油,95号,直喷,10
呼和,奔驰C级 2011款 C 200 CGI 时尚型,2011,奔驰C级,13.2,1.8,自动,42.12,11.8,国四,4,非运营使用性质,私户产权性质,到店服务看车方式,0,4591/1770/1444,2760,475,1570,涡轮增压,4缸,184,270,汽油,95号,直喷,10
呼和,奔驰C级 2010款 C 200 CGI 时尚型,2010,奔驰C级,7.81,1.8,自动,12.36,11.5,国四,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4581/1770/1448,2760,475,1630,涡轮增压,4缸,184,270,汽油,95号,直喷,11
金华,奔驰C级 2010款 C 260 CGI 运动型,2010,奔驰C级,13.5,1.8,自动,23.64,9.8,国四,5,非运营使用性质,私户产权性质,到店服务看车方式,0,4581/1770/1448,2760,475,1630,涡轮增压,4缸,204,310,汽油,95号,直喷,11
青岛,奔驰C级 2010款 C 200K 标准型,2010,奔驰C级,7,1.8,自动,37.77,7.7,国三,1,非运营使用性质,私户产权性质,到店服务看车方式,0,4581/1770/1448,2760,475,1505,机械增压,4缸,184,250,汽油,95号,多点电喷,11
青岛,奔驰C级 2010款 C 200K 标准型,2010,奔驰C级,7,1.8,自动,,7.7,国三,1,非运营使用性质,私户产权性质,到店服务看车方式,0,4581/1770/1448,2760,475,1505,机械增压,4缸,184,250,汽油,95号,多点电喷,11
上海,奔驰C级 2011款 C 200 CGI 优雅型,2011,奔驰C级,7.11,1.8,自动,,10.68,国四,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4591/1770/1444,2760,475,1570,涡轮增压,4缸,184,270,汽油,95号,直喷,10
深圳,奔驰C级 2013款 C 260 CGI 时尚型,2013,奔驰C级,11.57,1.8,自动,30.59,11.5,国四,3,非运营使用性质,私户产权性质,到店服务看车方式,0,4581/1770/1448,2760,475,1615,涡轮增压,4缸,204,310,汽油,95号,直喷,8
沈阳,奔驰C级 2010款 C 200K 时尚型,2010,奔驰C级,6.8,1.8,自动,42.88,8.68,国四,1,非运营使用性质,私户产权性质,到店服务看车方式,0,4581/1770/1448,2760,475,1505,机械增压,4缸,184,250,汽油,95号,多点电喷,11
沈阳,奔驰C级 2010款 C 200K 时尚型,2010,奔驰C级,6.8,1.8,自动,,8.68,国四,1,非运营使用性质,私户产权性质,到店服务看车方式,0,4581/1770/1448,2760,475,1505,机械增压,4缸,184,250,汽油,95号,多点电喷,11
沈阳,奔驰C级 2010款 C 200 CGI 优雅型,2010,奔驰C级,9.6,1.8,自动,,8.98,国五,3,非运营使用性质,私户产权性质,到店服务看车方式,0,4581/1770/1448,2760,475,1630,涡轮增压,4缸,184,270,汽油,95号,直喷,11
沈阳,奔驰C级 2010款 C 200 CGI 优雅型,2010,奔驰C级,9.6,1.8,自动,37.77,8.98,国五,3,非运营使用性质,私户产权性质,到店服务看车方式,0,4581/1770/1448,2760,475,1630,涡轮增压,4缸,184,270,汽油,95号,直喷,11
唐山,奔驰C级 2013款 C 260 CGI 时尚型,2013,奔驰C级,14.5,1.8,自动,42.12,12.98,国四,2,非运营使用性质,私户产权性质,到店服务看车方式,0,4581/1770/1448,2760,475,1615,涡轮增压,4缸,204,310,汽油,95号,直喷,8
唐山,奔驰C级 2013款 C 260 CGI 时尚型,2013,奔驰C级,14.5,1.8,自动,,12.98,国四,2,非运营使用性质,私户产权性质,到店服务看车方式,0,4581/1770/1448,2760,475,1615,涡轮增压,4缸,204,310,汽油,95号,直喷,8
潍坊,奔驰C级 2010款 C 180K 经典型,2010,奔驰C级,5.57,1.6,自动,8.66,8.7,国四,1,非运营使用性质,私户产权性质,到店服务看车方式,0,4581/1770/1448,2760,475,1615,机械增压,4缸,156,230,汽油,95号,多点电喷,11
西安,奔驰C级 2011款 C 200 CGI 时尚型,2011,奔驰C级,14.31,1.8,自动,42.12,11.6,国四,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4591/1770/1444,2760,475,1570,涡轮增压,4缸,184,270,汽油,95号,直喷,10
西安,奔驰C级 2011款 C 200 CGI 时尚型,2011,奔驰C级,14.31,1.8,自动,,11.6,国四,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4591/1770/1444,2760,475,1570,涡轮增压,4缸,184,270,汽油,95号,直喷,10
西安,奔驰C级 2011款 C 200 CGI 时尚型,2011,奔驰C级,14.31,1.8,自动,21.25,10.98,国四,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4591/1770/1444,2760,475,1570,涡轮增压,4缸,184,270,汽油,95号,直喷,10
徐州,奔驰C级 2011款 C 180K 经典型,2011,奔驰C级,13.82,1.6,自动,,10.4,国四,2,非运营使用性质,私户产权性质,到店服务看车方式,0,4591/1770/1444,2760,475,1545,机械增压,4缸,156,230,汽油,95号,多点电喷,10
郑州,奔驰C级 2010款 C 200 CGI 时尚型,2010,奔驰C级,10.7,1.8,自动,,8.9,国四,4,非运营使用性质,私户产权性质,到店服务看车方式,0,4581/1770/1448,2760,475,1630,涡轮增压,4缸,184,270,汽油,95号,直喷,11
呼和,奔驰C级 2010款 C 200 CGI 时尚型,2010,奔驰C级,7.81,1.8,自动,42.88,11.5,国四,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4581/1770/1448,2760,475,1630,涡轮增压,4缸,184,270,汽油,95号,直喷,11
上海,奔驰C级 2011款 C 200 CGI 优雅型,2011,奔驰C级,7.11,1.8,自动,37.77,10.68,国四,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4591/1770/1444,2760,475,1570,涡轮增压,4缸,184,270,汽油,95号,直喷,10
徐州,奔驰C级 2011款 C 180K 经典型,2011,奔驰C级,13.82,1.6,自动,33.43,10.4,国四,2,非运营使用性质,私户产权性质,到店服务看车方式,0,4591/1770/1444,2760,475,1545,机械增压,4缸,156,230,汽油,95号,多点电喷,10
金华,奔驰C级 2010款 C 260 CGI 运动型,2010,奔驰C级,13.5,1.8,自动,49.71,9.8,国四,5,非运营使用性质,私户产权性质,到店服务看车方式,0,4581/1770/1448,2760,475,1630,涡轮增压,4缸,204,310,汽油,95号,直喷,11
西安,奔驰C级 2011款 C 200 CGI 时尚型,2011,奔驰C级,14.31,1.8,自动,42.12,10.98,国四,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4591/1770/1444,2760,475,1570,涡轮增压,4缸,184,270,汽油,95号,直喷,10
深圳,奔驰C级 2013款 C 260 CGI 时尚型,2013,奔驰C级,11.57,1.8,自动,42.12,11.5,国四,3,非运营使用性质,私户产权性质,到店服务看车方式,0,4581/1770/1448,2760,475,1615,涡轮增压,4缸,204,310,汽油,95号,直喷,8
潍坊,奔驰C级 2010款 C 180K 经典型,2010,奔驰C级,5.57,1.6,自动,33.43,8.7,国四,1,非运营使用性质,私户产权性质,到店服务看车方式,0,4581/1770/1448,2760,475,1615,机械增压,4缸,156,230,汽油,95号,多点电喷,11
北京,奔驰C级 2019款 C 180 L 时尚型运动版,2019,奔驰C级,2.04,1.6,自动,11.27,25,国五,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4784/1810/1457,2920,-,1600,涡轮增压,4缸,156,250,汽油,95号,直喷,2
北京,奔驰C级 2015款 C 260 L 运动型,2015,奔驰C级,11.84,2,自动,19.52,23.5,国五,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4783/1810/1442,2920,-,-,涡轮增压,4缸,211,350,汽油,95号,直喷,6
常州,奔驰C级 2019款 改款 C 260 L 运动版,2019,奔驰C级,4.28,1.5,自动,6.17,28.38,国六,1,非运营使用性质,私户产权性质,到店服务看车方式,0,4784/1810/1457,2920,-,-,涡轮增压,4缸,184,280,汽油+48V轻混系统,95号,直喷,2
成都,奔驰C级 2018款 C 200 L 运动版 成就特别版,2018,奔驰C级,4.85,2,自动,,27.98,国五,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4783/1810/1442,2920,-,-,涡轮增压,4缸,184,300,汽油,95号,直喷,3
成都,奔驰C级 2015款 C 200 L 运动型,2015,奔驰C级,9.69,2,自动,43.08,20.8,国五,2,非运营使用性质,私户产权性质,到店服务看车方式,0,4783/1810/1442,2920,-,1650,涡轮增压,4缸,184,300,汽油,95号,直喷,6
成都,奔驰C级 2019款 C 260 L 运动版,2019,奔驰C级,1,1.5,自动,21.36,27.8,国六,1,非运营使用性质,私户产权性质,到店服务看车方式,0,4784/1810/1457,2920,-,1660,涡轮增压,4缸,184,280,汽油+48V轻混系统,95号,直喷,2
成都,奔驰C级 2018款 C 180 L 时尚型运动版,2018,奔驰C级,4.02,1.6,自动,13.21,24.6,国五,1,非运营使用性质,私户产权性质,到店服务看车方式,0,4783/1810/1442,2920,-,-,涡轮增压,4缸,156,250,汽油,95号,直喷,3
大连,奔驰C级 2015款 改款 C 200 L 运动型,2015,奔驰C级,5.9,2,自动,,21.98,国五,1,非运营使用性质,私户产权性质,到店服务看车方式,0,4783/1810/1442,2920,-,1650,涡轮增压,4缸,184,300,汽油,95号,直喷,6
大连,奔驰C级 2015款 改款 C 200 L 运动型,2015,奔驰C级,5.9,2,自动,38.4,21.98,国五,1,非运营使用性质,私户产权性质,到店服务看车方式,0,4783/1810/1442,2920,-,1650,涡轮增压,4缸,184,300,汽油,95号,直喷,6
大连,奔驰C级 2020款 改款 C 260 运动版,2020,奔驰C级,0.8,1.5,自动,24.51,26.98,国六,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4704/1810/1454,2840,-,-,涡轮增压,4缸,184,280,汽油+48V轻混系统,95号,直喷,1
佛山,奔驰C级 2018款 C 200 运动版,2018,奔驰C级,3.4,2,自动,13.77,25.88,国六,1,非运营使用性质,私户产权性质,到店服务看车方式,0,4714/1810/1442,2840,-,-,涡轮增压,4缸,184,300,汽油,95号,直喷,3
广州,奔驰C级 2019款 C 260 L 运动版,2019,奔驰C级,3.06,1.5,自动,11.93,27.8,国六,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4784/1810/1457,2920,-,1660,涡轮增压,4缸,184,280,汽油+48V轻混系统,95号,直喷,2
哈尔,奔驰C级 2015款 改款 C 180 L 运动型,2015,奔驰C级,2.43,1.6,自动,,21.8,国四,1,非运营使用性质,私户产权性质,到店服务看车方式,0,4783/1810/1442,2920,-,1605,涡轮增压,4缸,156,250,汽油,95号,直喷,6
合肥,奔驰C级 2019款 C 180 L 时尚型运动版,2019,奔驰C级,2.71,1.6,自动,,25.88,国五,1,非运营使用性质,私户产权性质,到店服务看车方式,0,4784/1810/1457,2920,-,1600,涡轮增压,4缸,156,250,汽油,95号,直喷,2
合肥,奔驰C级 2019款 C 180 L 时尚型运动版,2019,奔驰C级,2.71,1.6,自动,34.28,25.88,国五,1,非运营使用性质,私户产权性质,到店服务看车方式,0,4784/1810/1457,2920,-,1600,涡轮增压,4缸,156,250,汽油,95号,直喷,2
合肥,奔驰C级 2018款 C 200 L 运动版 成就特别版,2018,奔驰C级,7.43,2,自动,,26.08,国五,1,非运营使用性质,私户产权性质,到店服务看车方式,0,4783/1810/1442,2920,-,-,涡轮增压,4缸,184,300,汽油,95号,直喷,3
合肥,奔驰C级 2018款 C 200 L 运动版 成就特别版,2018,奔驰C级,7.43,2,自动,38.4,26.08,国五,1,非运营使用性质,私户产权性质,到店服务看车方式,0,4783/1810/1442,2920,-,-,涡轮增压,4缸,184,300,汽油,95号,直喷,3
合肥,奔驰C级 2018款 C 200 运动版,2018,奔驰C级,4.87,2,自动,10.08,24.5,国五,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4714/1810/1442,2840,-,-,涡轮增压,4缸,184,300,汽油,95号,直喷,3
济南,奔驰C级 2015款 改款 C 200 L 运动型,2015,奔驰C级,10,2,自动,21.58,20.98,国五,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4783/1810/1442,2920,-,1650,涡轮增压,4缸,184,300,汽油,95号,直喷,6
廊坊,奔驰C级 2020款 C 260 L 运动版,2020,奔驰C级,1.64,1.5,自动,,29.5,国六,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4784/1810/1457,2920,-,-,涡轮增压,4缸,184,280,汽油+48V轻混系统,95号,直喷,1
廊坊,奔驰C级 2020款 C 260 L 运动版,2020,奔驰C级,1.64,1.5,自动,37.64,29.5,国六,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4784/1810/1457,2920,-,-,涡轮增压,4缸,184,280,汽油+48V轻混系统,95号,直喷,1
廊坊,奔驰C级 2017款 改款 C 180 L 时尚型,2017,奔驰C级,3.15,1.6,自动,,22.8,国五,1,非运营使用性质,私户产权性质,到店服务看车方式,0,4783/1810/1442,2920,-,-,涡轮增压,4缸,156,250,汽油,95号,直喷,4
廊坊,奔驰C级 2017款 改款 C 180 L 时尚型,2017,奔驰C级,3.15,1.6,自动,35.36,22.8,国五,1,非运营使用性质,私户产权性质,到店服务看车方式,0,4783/1810/1442,2920,-,-,涡轮增压,4缸,156,250,汽油,95号,直喷,4
南京,奔驰C级 2020款 改款 C 200 L 时尚型运动版,2020,奔驰C级,0.91,1.5,自动,34.28,27.8,国六,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4784/1810/1457,2920,-,-,涡轮增压,4缸,156,250,汽油,95号,直喷,1
南京,奔驰C级 2020款 改款 C 200 L 时尚型运动版,2020,奔驰C级,0.91,1.5,自动,,27.8,国六,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4784/1810/1457,2920,-,-,涡轮增压,4缸,156,250,汽油,95号,直喷,1
深圳,奔驰C级 2011款 C 200 时尚旅行版(进口),2011,奔驰C级,7.2,1.8,自动,46.13,13.68,国四,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4601/1770/1459,2760,-,1632,涡轮增压,4缸,184,270,汽油,95号,直喷,10
深圳,奔驰C级 2011款 C 200 时尚旅行版(进口),2011,奔驰C级,7.2,1.8,自动,,13.68,国四,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4601/1770/1459,2760,-,1632,涡轮增压,4缸,184,270,汽油,95号,直喷,10
石家,奔驰C级 2020款 改款 C 260 L 运动版,2020,奔驰C级,1.72,1.5,自动,37.64,30.68,国六,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4784/1810/1457,2920,-,-,涡轮增压,4缸,184,280,汽油+48V轻混系统,95号,直喷,1
石家,奔驰C级 2020款 改款 C 260 L 运动版,2020,奔驰C级,1.72,1.5,自动,,30.68,国六,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4784/1810/1457,2920,-,-,涡轮增压,4缸,184,280,汽油+48V轻混系统,95号,直喷,1
石家,奔驰C级 2019款 C 260 L 运动版,2019,奔驰C级,7.56,1.5,自动,38.08,27.8,国六,1,非运营使用性质,私户产权性质,到店服务看车方式,0,4784/1810/1457,2920,-,1660,涡轮增压,4缸,184,280,汽油+48V轻混系统,95号,直喷,2
石家,奔驰C级 2019款 C 260 L 运动版,2019,奔驰C级,7.56,1.5,自动,,27.8,国六,1,非运营使用性质,私户产权性质,到店服务看车方式,0,4784/1810/1457,2920,-,1660,涡轮增压,4缸,184,280,汽油+48V轻混系统,95号,直喷,2
石家,奔驰C级 2018款 C 200 轿跑车(进口),2018,奔驰C级,3.16,2,自动,37.45,31.8,国五,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4708/1810/1401,2840,-,-,涡轮增压,4缸,184,300,汽油,95号,直喷,3
太原,奔驰C级 2019款 C 260 运动版,2019,奔驰C级,1.1,1.5,自动,33.74,26.9,国六,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4704/1810/1454,2840,-,-,涡轮增压,4缸,184,280,汽油+48V轻混系统,95号,直喷,2
太原,奔驰C级 2019款 C 260 运动版,2019,奔驰C级,1.1,1.5,自动,,26.9,国六,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4704/1810/1454,2840,-,-,涡轮增压,4缸,184,280,汽油+48V轻混系统,95号,直喷,2
温州,奔驰C级 2011款 C 200 时尚旅行版(进口),2011,奔驰C级,14.2,1.8,自动,15.19,13.2,国四,1,非运营使用性质,私户产权性质,到店服务看车方式,0,4601/1770/1459,2760,-,1632,涡轮增压,4缸,184,270,汽油,95号,直喷,10
无锡,奔驰C级 2015款 C 200 运动版 4MATIC,2015,奔驰C级,8.12,2,自动,14.95,21.8,国五,2,非运营使用性质,私户产权性质,到店服务看车方式,0,4714/1810/1442,2840,-,-,涡轮增压,4缸,184,300,汽油,95号,直喷,6
无锡,奔驰C级 2016款 C 200 运动版,2016,奔驰C级,2.32,2,自动,22.01,21.3,国五,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4714/1810/1442,2840,-,-,涡轮增压,4缸,184,300,汽油,95号,直喷,5
徐州,奔驰C级 2015款 改款 C 200 L 运动型,2015,奔驰C级,8.23,2,自动,,21.28,国五,3,非运营使用性质,私户产权性质,到店服务看车方式,0,4783/1810/1442,2920,-,1650,涡轮增压,4缸,184,300,汽油,95号,直喷,6
长沙,奔驰C级 2019款 C 180 L 时尚型运动版,2019,奔驰C级,3.48,1.6,自动,,25.98,国五,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4784/1810/1457,2920,-,1600,涡轮增压,4缸,156,250,汽油,95号,直喷,2
长沙,奔驰C级 2019款 C 260 运动版,2019,奔驰C级,2.08,1.5,自动,,26.8,国五,1,非运营使用性质,私户产权性质,到店服务看车方式,0,4704/1810/1454,2840,-,-,涡轮增压,4缸,184,280,汽油+48V轻混系统,95号,直喷,2
长沙,奔驰C级 2019款 改款 C 260 L 运动版,2019,奔驰C级,5.21,1.5,自动,42.32,28.88,国六,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4784/1810/1457,2920,-,-,涡轮增压,4缸,184,280,汽油+48V轻混系统,95号,直喷,2
郑州,奔驰C级 2015款 C 200 L 运动型,2015,奔驰C级,9.3,2,自动,,18.98,国五,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4783/1810/1442,2920,-,1650,涡轮增压,4缸,184,300,汽油,95号,直喷,6
郑州,奔驰C级 2015款 C 200 L 运动型,2015,奔驰C级,9.3,2,自动,40.05,18.98,国五,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4783/1810/1442,2920,-,1650,涡轮增压,4缸,184,300,汽油,95号,直喷,6
郑州,奔驰C级 2019款 C 260 L 4MATIC 运动版,2019,奔驰C级,2.91,1.5,自动,13.98,29.99,国六,1,非运营使用性质,私户产权性质,到店服务看车方式,0,4784/1810/1457,2920,-,1750,涡轮增压,4缸,184,280,汽油+48V轻混系统,95号,直喷,2
重庆,奔驰C级 2016款 C 180 L 运动型,2016,奔驰C级,4.17,1.6,自动,,21.98,国五,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4783/1810/1442,2920,-,-,涡轮增压,4缸,156,250,汽油,95号,直喷,5
重庆,奔驰C级 2020款 C 260 轿跑车(进口),2020,奔驰C级,1.6,1.5,自动,,33.38,国六,1,非运营使用性质,私户产权性质,到店服务看车方式,0,4698/1810/1408,2840,-,-,涡轮增压,4缸,184,280,汽油+48V轻混系统,95号,直喷,1
广州,奔驰C级 2015款 C 200 运动版,2015,奔驰C级,9.03,2,自动,34.17,20.98,国五,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4714/1810/1442,2840,-,-,涡轮增压,4缸,184,300,汽油,95号,直喷,6
无锡,奔驰C级 2015款 C 200 运动版 4MATIC,2015,奔驰C级,8.12,2,自动,42.31,21.8,国五,2,非运营使用性质,私户产权性质,到店服务看车方式,0,4714/1810/1442,2840,-,-,涡轮增压,4缸,184,300,汽油,95号,直喷,6
重庆,奔驰C级 2016款 C 180 L 运动型,2016,奔驰C级,4.17,1.6,自动,35.36,21.98,国五,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4783/1810/1442,2920,-,-,涡轮增压,4缸,156,250,汽油,95号,直喷,5
长沙,奔驰C级 2019款 C 180 L 时尚型运动版,2019,奔驰C级,3.48,1.6,自动,34.28,25.98,国五,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4784/1810/1457,2920,-,1600,涡轮增压,4缸,156,250,汽油,95号,直喷,2
长沙,奔驰C级 2019款 C 260 运动版,2019,奔驰C级,2.08,1.5,自动,33.74,26.8,国五,1,非运营使用性质,私户产权性质,到店服务看车方式,0,4704/1810/1454,2840,-,-,涡轮增压,4缸,184,280,汽油+48V轻混系统,95号,直喷,2
重庆,奔驰C级 2020款 C 260 轿跑车(进口),2020,奔驰C级,1.6,1.5,自动,39.16,33,国六,1,非运营使用性质,私户产权性质,到店服务看车方式,0,4698/1810/1408,2840,-,-,涡轮增压,4缸,184,280,汽油+48V轻混系统,95号,直喷,1
常州,奔驰C级 2019款 改款 C 260 L 运动版,2019,奔驰C级,4.28,1.5,自动,37.64,28.38,国六,1,非运营使用性质,私户产权性质,到店服务看车方式,0,4784/1810/1457,2920,-,-,涡轮增压,4缸,184,280,汽油+48V轻混系统,95号,直喷,2
北京,奔驰C级 2019款 C 180 L 时尚型运动版,2019,奔驰C级,2.04,1.6,自动,34.28,25,国五,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4784/1810/1457,2920,-,1600,涡轮增压,4缸,156,250,汽油,95号,直喷,2
温州,奔驰C级 2011款 C 200 时尚旅行版(进口),2011,奔驰C级,14.2,1.8,自动,46.13,13.2,国四,1,非运营使用性质,私户产权性质,到店服务看车方式,0,4601/1770/1459,2760,-,1632,涡轮增压,4缸,184,270,汽油,95号,直喷,10
广州,奔驰C级 2019款 C 260 L 运动版,2019,奔驰C级,3.06,1.5,自动,38.08,27.8,国六,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4784/1810/1457,2920,-,1660,涡轮增压,4缸,184,280,汽油+48V轻混系统,95号,直喷,2
长沙,奔驰C级 2019款 改款 C 260 L 运动版,2019,奔驰C级,5.21,1.5,自动,37.64,28.88,国六,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4784/1810/1457,2920,-,-,涡轮增压,4缸,184,280,汽油+48V轻混系统,95号,直喷,2
